Title,Authors,ISBN13,MyRating,Publisher,DateRead,externalLink
"His Excellency Eugène Rougon","Zola, Émile|Nelson, Brian, (trans.)",9780198748250,5,Oxford University Press,2023/01/27
"Eichmann in Jerusalem: A Report on the Banality of Evil","Arendt, Hannah",9780143039884,5,Penguin Group,2023/01/23
"Underdogs: Social Deviance and Queer Theory","Love, Heather",9780226761107,5,University of Chicago Press,2023/01/08,https://lareviewofbooks.org/article/a-politics-of-stigma-on-heather-loves-underdogs-social-deviance-and-queer-theory/
"Race After Technology: Abolitionist Tools for the New Jim Code","Benjamin, Ruha",9781509526406,5,Polity Press,2022/12/31
"Ada & Zangemann: A Tale of Software, Skateboards, and Raspberry Ice Cream","Kirschner, Matthias|Brandstätter, Sandra, (illus.)",9781718503182,5,No Starch Press,2022/12/26,"https://nostarch.com/ada-zangemann"
"Nigeria: A New History of a Turbulent Century","Bourne, Richard",9781780329062,5,Zed Books,2022/12/19
"A Visit From The Goon Squad","Egan, Jennifer",9780307477477,4,Anchor Books,2022/12/14
"The Sin of Abbe Mouret","Zola, Émile|Minogue, Valerie Pearson, (trans.)",9780198736639,5,Oxford University Press,2022/12/06
"Down to Earth: Politics in the New Climate Regime","Latour, Bruno",9781509530571,5,Polity Press,2022/10/15
"Tokyo Ueno Station","Miri, Yu|Giles, Morgan, (trans.)",9780593187524,5,Riverhead Books,2022/10/08
"The Rey Chow Reader","Chow, Rey|Bowman, Paul, (ed.)",9780231149952,5,Columbia University Press,2022/10/01
"Bots","Monaco, Nick|Woolley, Samuel",9781509543595,5,Polity Press,2022/09/13
"Death and the Penguin","Kurkov, Andrey|Bird, George, (trans.)",9781935554554,5,Melville House Publishing,2022/09/11
"Fates and Furies","Groff, Lauren",9781594634482,5,Riverhead Books,2022/08/31
"Radical Technologies: The Design of Everyday Life","Greenfield, Adam",9781784780456,5,Verso,2022/08/13
"The Conquest of Plassans","Zola, Émile",9780199664788,4,Oxford University Press,2022/07/31
"The Island of Dr Moreau","Wells, H.G.",9780141441023,4,Penguin,2022/07/03
"Emergency: Reading the Popol Vuh in a Time of Crisis","Garcia, Edgar",9780226818597,5,University of Chicago Press,2022/06/25
"The First Men in the Moon","Wells, H.G.",9780486414188,5,Dover,2022/06/15
"The Time Machine","Wells, H.G.",9780141439976,5,Penguin Books,2022/06/01
"The Popol Vuh","Bazzett, Michael, (trans.)",9781571314680,5,Milkweed Editions,2022/06/01
"Algorithms of Oppression","Noble, Safiya Umoja",9781479837243,5,New York University Press,2022/06/01
"Postwar: A History of Europe Since 1945","Judt, Tony",9780143037750,5,Penguin Books,2022/05/27
"Complaint!","Ahmed, Sara",9781478017714,5,Duke University Press,2022/04/24
"On Tyranny","Snyder, Timothy",9780804190114,5,Crown Publishing Group,2022/04/07
"Identity: The Demand for Dignity and the Politics of Resentment","Fukuyama, Francis",9781250234643,3,Picador USA,2022/04/07
"Electoral Integrity In America","Cameron, Sarah, (ed.)|Wynter, Thomas, (ed.)",9780190934163,5,Oxford University Press,2022/04/03
"The Book of Evidence","Banville, John",9780375725234,5,Vintage,2022/03/30
"The Unraveling","Rosenbaum, Benjamin",9781645660019,5,Erewhon,2022/03/20
"The Cult of the Constitution","Franks, Mary Anne",9781503614987,5,Stanford University Press,2022/03/18
"The Address Book: What Street Addresses Reveal about Identity, Race, Wealth, and Power","Mask,Deidre",9781250134769,4,St. Martin's Press,2022/02/23
"Riot Baby","Onyebuchi, Tochi",9781250214751,5,Tordotcom,2022/02/07
"The Girl on the Train","Hawkins, Paula",9781594634024,5,Riverhead Books,2022/02/04
"The Stand","King, Stephen",9780307947307,2,Anchor Books,2022/01/30
"Capital in the 21st Century","Piketty, Thomas",9780674979857,5,Belknap Press,2022/01/29
"The Secret to Superhuman Strength","Bechdel, Alison",9780544387652,5,Houghton Mifflin Harcourt,2022/01/17
"Then and Now: Safe House Short Stories","Haysom, Simone|Lamwaka, Beatrice|Komba, Neema|Edozien, Chike Frankie",9781459738058,5,Dundrum Press,2021/12/25
"The Border of Paradise","Wang, Esmé Weijun",9781939419699,5,Unnamed Press,2021/12/20
"Labor Law for the Rank & Filer: Building Solidarity While Staying Clear of the Law, Second Edition","Lynd, Staughton|Gross, Daniel",9781604864199,5,PM Press,2021/12/19
"The Collected Schizophrenias: Essays","Wang, Esmé Weijun",9781555978273,5,Graywolf Press,2021/11/28
"The Stone Sky","Jemisin, N.K.",9780316229241,5,Orbit,2021/11/20
"Parables for the Virtual: Movement, Affect, Sensation","Massumi, Brian",9780822328971,5,Duke,2021/11/15
"The Obelisk Gate","Jemisin, N.K.",9780316229265,5,Orbit,2021/10/25
"An Ugly Truth","Frenkel, Sheera|Kang, Cecilia",9780062960672,5,Harper,2021/10/19
"Necropolitics","Mbembe, Achille",9781478006510,5,Duke University Press,2021/10/12
"The Fifth Season","Jemisin, N.K.",9780316229296,5,Orbit,2021/09/26
"The Ant King and Other Stories","Rosenbaum, Benjamin",9781931520539,5,Small Beer Press,2021/09/10
"Sisters in Hate: American Women on the Front Lines of White Nationalism","Darby, Seyward",9780316487771,5,Little Brown and Company,2021/08/28
"1491: New Revelations of the Americas Before Columbus (2nd ed.)","Mann, Charles C.",9781400032051,5,Vintage,2021/08/07
"Homo Sacer: Sovereign Power and Bare Life","Agamben, Giorgio",9780804732185,5,Stanford University Press,2021/07/23
"Veronica","Gaitskill, Mary",9780375727856,5,Vintage,2021/07/03
"The Precariat: The Dangerous New Class","Standing, Guy",9781474294164,2,Bloomsbury Academic,2021/07/03
"The Belly of Paris","Zola, Émile",9780199555840,5,Oxford University Press,2021/06/19
"The Origins of Totalitarianism","Arendt, Hannah",9781433206634,5,Blackstone Audiobooks,2021/06/18
"The_Future_is_Now / Neon_Rising (v2.3)","Gonzalez, Josan",9788494608438,5,Citadel 9,2021/06/13,https://citadel9.com/products/the-future-is-now_neon-rising
"Cruel Optimism","Berlant, Lauren",9780822351115,4,Duke University Press,2021/06/12
"The Kill: La Curée","Zola, Émile",9780199536924,5,Oxford University Press,2021/05/22
"Terrorist Assemblages: Homonationalism in Queer Times","Puar, Jasbir K.",9780822341147,5,Duke University Press,2021/05/15
"Under the Rainbow","Laskey, Celia",9780525536161,4,Riverhead Books,2021/04/18
"Autonomous","Newitz, Annalee",9780765392084,5,Tor Books,2021/04/17
"The Fortune of the Rougons","Zola, Émile",9780199560998,5,Oxford University Press,2021/04/10
"Law 101: Everything You Need to Know About American Law, 5th Edition","Feinman, Jay M.",9780190866327,5,Oxford University Press,2021/04/02
"Black in Place","Summers,Brandi Thompson",9781469654010,5,The University of North Carolina Press,2021/03/14
"The Overstory","Powers, Richard",9780393356687,2,W.W. Norton & Company,2021/02/09
"Glitch Feminism: A Manifesto","Russell, Legacy",9781786632661,5,Verso,2021/02/03
"The Vanishing Half","Bennett, Brit",9780525536291,5,Riverhead Books,2021/01/30
"Blockchain Chicken Farm","Wang, Xiaowei",9780374538668,5,FSG Originals,2021/01/24
"The Best American Science Fiction and Fantasy 2019","Machado, Carmen Maria, (ed.)",9781328604378,5,Mariner Books,2021/01/16
"Hyperbole and a Half","Brosh, Allie",9781451666175,4,Gallery Books,2020/12/24
"The Long Take","Robertson, Robin",9781509846887,5,Picador Poetry,2020/11/27
"The Gates of Europe: A History of Ukraine","Plokhy, Serhii",9780465094868,5,Basic Books,2020/11/21
"Agency (Jackpot #2)","Gibson, William",9781101986936,4,Berkley,2020/10/30
"Dare to Speak","Nossel, Suzanne",9780062966032,4,Harper Collins,2020/10/20
"The Internet of Garbage","Jeong, Sarah",9781508018865,5,Vox Media,2020/10/12
"The City We Became","Jemisin, N.K.",9780316509848,5,Orbit,2020/10/10
"Is That a Fish in Your Ear? Translation and the Meaning of Everything","Bellos, David",9780865478763,3,"Farrar, Straus and Giroux",2020/10/02
"Parable of the Sower","Butler, Octavia E.",9781538732182,5,Grand Central Publishing,2020/09/27
"Birth Strike: The Hidden Fight over Women's Work","Brown, Jenny",9781629636382,4,PM Press,2020/09/24
"The Hidden History of Burma: Race, Capitalism, and the Crisis of Democracy in the 21st Century","Myint-U, Thant",9781324003298,5,W.W. Norton & Company,2020/09/07
"Arranging Grief: Sacred Time and the Body in Nineteenth-Century America","Luciano, Dana",9780814752234,5,New York University Press,2020/08/20
"Hieronymus Bosch: Garden of Earthly Delights","Belting, Hans",9783791333205,4,Prestel,2020/08/08
"The Age of Surveillance Capitalism: The Fight for a Human Future at the New Frontier of Power","Zuboff, Shoshana",9781610395694,5,Public Affairs,2020/08/06
"Here For It: Or, How to Save Your Soul in America; Essays ","Thomas, R. Eric",9780525621034,4,Balantine Books,2020/07/31
"Inventing Human Rights","Hunt, Lynn",9780393331998,5,W. W. Norton Company,2020/07/26
"The Spook Who Sat by the Door","Greenlee, Sam",9780814322468,5,Wayne State University Press,2020/07/08
"Winners Take All: The Elite Charade of Changing the World","Giridharadas, Anand",9780451493248,4,Knopf,2020/07/03
"Learning to Die in the Anthropocene","Scranton, Roy",9780872866690,5,City Light Books,2020/06/29
"Speak, Memory","Nabokov, Vladimir",9780679723394,5,Vintage,2020/06/19
"Aristotle and Dante Discover the Secrets of the Universe","Sáenz, Benjamin Alire",9781442408937,5,Simon & Schuster,2020/06/14
"Critical Trauma Studies: Understanding Violence, Conflict, and Memory in Everyday Life","Capser, Monica J., (ed.) |Wertheimer, Eric, (ed.)",9781479822515,4,New York University Press,2020/06/13
"Design Justice: Community-Led Practices to Build the Worlds We Need","Costanza-Chock, Sasha",9780262043458,5,MIT,2020/05/29
"Captive Prince (Captive Prince #1)","Pacat, C.S.",9780425274262,3,Berkley,2020/05/20
"Dientes de Dragón","Crichton, Michael|Gallardo, Gabriel Dols, (trans.)",9789506444662,3,Penguin Random House Grupo Editorial,2020/05/12
"Race, Class, and Politics in the Cappuccino City","Hyra, Derek S.",9780226449531,4,"University of Chicago Press",2019/04/11,
