BookId,Title,Author,AuthorLF,AdditionalAuthors,ISBN,ISBN13,MyRating,AverageRating,Publisher,Binding,NumberOfPages,YearPublished,OriginalPublicationYear,DateRead,DateAdded,Bookshelves,BookshelvesWithPositions,ExclusiveShelf,MyReview,Spoiler,PrivateNotes,ReadCount,RecommendedFor,RecommendedBy,OwnedCopies,OriginalPurchaseDate,OriginalPurchaseLocation,Condition,ConditionDescription,BCID
18423,The Left Hand of Darkness (Hainish Cycle #4),Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""""","=""""",5,4.07,Ace,Paperback,304,2000,1969,2016/09/01,2017/01/02,,,read,,,,1,,,0,,,,,
68494,"Perdido Street Station (New Crobuzon, #1)",China Miéville,"Miéville, China",,"=""0345459407""","=""9780345459404""",3,3.97,Ballantine Del Rey,Mass Market Paperback,623,2003,2000,2016/12/29,2017/01/02,,,read,,,,1,,,0,,,,,
18490553,American Innovations,Rivka Galchen,"Galchen, Rivka",,"=""0374280479""","=""9780374280475""",0,3.59,"Farrar, Straus and Giroux",Hardcover,175,2014,2014,,2017/01/02,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
13009002,The Prisoner and the Fugitive (In Search of Lost Time #5),Marcel Proust,"Proust, Marcel","Carol Clark, Christopher Prendergast, Peter   Collier","=""0141180358""","=""9780141180359""",5,4.39,Penguin Classics,Paperback,720,2003,1925,2013/02/14,2013/03/14,,,read,,,,1,,,0,,,,,
153747,"Moby-Dick or, the Whale",Herman Melville,"Melville, Herman","Andrew Delbanco, Tom Quirk","=""0142437247""","=""9780142437247""",5,3.50,Penguin Classics,Paperback,654,2003,1851,,2016/01/01,,,read,,,,1,,,0,,,,,
25489625,Between the World and Me,Ta-Nehisi Coates,"Coates, Ta-Nehisi",,"=""0812993543""","=""9780812993547""",5,4.39,Spiegel & Grau,Hardcover,152,2015,2015,,2016/01/01,,,read,,,,1,,,0,,,,,
13659,"Tales from Earthsea (Earthsea Cycle, #5)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""0441011241""","=""9780441011247""",0,4.05,Ace,Paperback,280,2003,2001,,2016/01/01,,,read,,,,1,,,0,,,,,
13661,"Tehanu (Earthsea Cycle, #4)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""1416509631""","=""9781416509639""",0,3.95,Pocket Books,Paperback,281,2004,1990,,2016/01/01,,,read,,,,1,,,0,,,,,
13667,"The Farthest Shore (Earthsea Cycle, #3)",Ursula K. Le Guin,"Guin, Ursula K. Le",,"=""141650964X""","=""9781416509646""",0,4.12,Gallery Books,Paperback,259,2004,1972,,2016/01/01,,,read,,,,1,,,0,,,,,
13662,"The Tombs of Atuan (Earthsea Cycle, #2)",Ursula K. Le Guin,"Guin, Ursula K. Le",Margot Paronis,"=""0689845367""","=""9780689845369""",0,4.09,Gallery / Saga Press,Mass Market Paperback,180,2001,1970,,2016/01/01,,,read,,,,1,,,0,,,,,
